"","Lat","Long"
"1",115,-32.5
"2",115,-30
"3",115,-27.5
"4",115,-25
"5",115,-22.5
"6",118.75,-32.5
"7",118.75,-30
"8",118.75,-27.5
"9",118.75,-25
"10",118.75,-22.5
"11",122.5,-32.5
"12",122.5,-30
"13",122.5,-27.5
"14",122.5,-25
"15",122.5,-22.5
"16",122.5,-20
"17",122.5,-17.5
"18",126.25,-30
"19",126.25,-27.5
"20",126.25,-25
"21",126.25,-22.5
"22",126.25,-20
"23",126.25,-17.5
"24",126.25,-15
"25",130,-30
"26",130,-27.5
"27",130,-25
"28",130,-22.5
"29",130,-20
"30",130,-17.5
"31",130,-15
"32",133.75,-32.5
"33",133.75,-30
"34",133.75,-27.5
"35",133.75,-25
"36",133.75,-22.5
"37",133.75,-20
"38",133.75,-17.5
"39",133.75,-15
"40",133.75,-12.5
"41",137.5,-35
"42",137.5,-32.5
"43",137.5,-30
"44",137.5,-27.5
"45",137.5,-25
"46",137.5,-22.5
"47",137.5,-20
"48",137.5,-17.5
"49",141.25,-37.5
"50",141.25,-35
"51",141.25,-32.5
"52",141.25,-30
"53",141.25,-27.5
"54",141.25,-25
"55",141.25,-22.5
"56",141.25,-20
"57",141.25,-17.5
"58",141.25,-15
"59",145,-37.5
"60",145,-35
"61",145,-32.5
"62",145,-30
"63",145,-27.5
"64",145,-25
"65",145,-22.5
"66",145,-20
"67",148.75,-35
"68",148.75,-32.5
"69",148.75,-30
"70",148.75,-27.5
"71",148.75,-25
"72",148.75,-22.5
